Tarix (gün.ay.il);Stansiya;Gündəlik gediş sayı
2026-01-01 00:00:00,000;"20 Yanvar";17909
2026-01-01 00:00:00,000;"20 Yanvar";4049
2026-01-01 00:00:00,000;"20 Yanvar";5936
2026-01-02 00:00:00,000;"20 Yanvar";15624
2026-01-02 00:00:00,000;"20 Yanvar";3595
2026-01-02 00:00:00,000;"20 Yanvar";5407
2026-01-03 00:00:00,000;"20 Yanvar";21267
2026-01-03 00:00:00,000;"20 Yanvar";4879
2026-01-03 00:00:00,000;"20 Yanvar";7595
2026-01-04 00:00:00,000;"20 Yanvar";20342
2026-01-04 00:00:00,000;"20 Yanvar";7438
2026-01-04 00:00:00,000;"20 Yanvar";4743
2026-01-05 00:00:00,000;"20 Yanvar";31343
2026-01-05 00:00:00,000;"20 Yanvar";7492
2026-01-05 00:00:00,000;"20 Yanvar";12445
2026-01-06 00:00:00,000;"20 Yanvar";31579
2026-01-06 00:00:00,000;"20 Yanvar";6956
2026-01-06 00:00:00,000;"20 Yanvar";13315
2026-01-07 00:00:00,000;"20 Yanvar";12612
2026-01-07 00:00:00,000;"20 Yanvar";30520
2026-01-07 00:00:00,000;"20 Yanvar";7299
2026-01-08 00:00:00,000;"20 Yanvar";13102
2026-01-08 00:00:00,000;"20 Yanvar";7378
2026-01-08 00:00:00,000;"20 Yanvar";31226
2026-01-09 00:00:00,000;"20 Yanvar";31525
2026-01-09 00:00:00,000;"20 Yanvar";7374
2026-01-09 00:00:00,000;"20 Yanvar";14006
2026-01-10 00:00:00,000;"20 Yanvar";23725
2026-01-10 00:00:00,000;"20 Yanvar";5643
2026-01-10 00:00:00,000;"20 Yanvar";10051
2026-01-11 00:00:00,000;"20 Yanvar";18945
2026-01-11 00:00:00,000;"20 Yanvar";4373
2026-01-11 00:00:00,000;"20 Yanvar";7928
2026-01-12 00:00:00,000;"20 Yanvar";31670
2026-01-12 00:00:00,000;"20 Yanvar";6950
2026-01-12 00:00:00,000;"20 Yanvar";12729
2026-01-13 00:00:00,000;"20 Yanvar";30843
2026-01-13 00:00:00,000;"20 Yanvar";6780
2026-01-14 00:00:00,000;"20 Yanvar";27556
2026-01-14 00:00:00,000;"20 Yanvar";5705
2026-01-14 00:00:00,000;"20 Yanvar";28537
2026-01-15 00:00:00,000;"20 Yanvar";7929
2026-01-15 00:00:00,000;"20 Yanvar";14168
2026-01-15 00:00:00,000;"20 Yanvar";29672
2026-01-16 00:00:00,000;"20 Yanvar";7189
2026-01-16 00:00:00,000;"20 Yanvar";31558
2026-01-16 00:00:00,000;"20 Yanvar";15482
2026-01-17 00:00:00,000;"20 Yanvar";22865
2026-01-17 00:00:00,000;"20 Yanvar";5094
2026-01-17 00:00:00,000;"20 Yanvar";10746
2026-01-18 00:00:00,000;"20 Yanvar";15880
2026-01-18 00:00:00,000;"20 Yanvar";3661
2026-01-18 00:00:00,000;"20 Yanvar";7597
2026-01-19 00:00:00,000;"20 Yanvar";30161
2026-01-19 00:00:00,000;"20 Yanvar";6930
2026-01-19 00:00:00,000;"20 Yanvar";15291
